radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,270,99,12,22222,0,6.120712,49.54384,11109,144,1,1309988245,1443599522,0
GSM,270,77,3,373,0,6.117069,49.538568,8810,1999,1,1309988245,1549544159,0
GSM,270,1,1010,15396,0,6.114561,49.536516,11764,2000,1,1309988245,1384491026,0
GSM,270,77,3,10373,0,6.115696,49.539976,21609,1068,1,1309988245,1328105111,0
GSM,270,77,3,10372,0,6.116469,49.542106,21646,1083,1,1309988245,1328105021,0
GSM,270,1,1010,15395,0,6.119189,49.543337,33462,2000,1,1309988245,1384316460,0
GSM,270,77,3,371,0,6.128487,49.546351,20767,2000,1,1309988245,1549286601,0
GSM,270,77,3,372,0,6.172635,49.543691,22122,1985,1,1309988245,1549286601,0
GSM,270,99,11,20223,0,6.119766,49.567414,2962,20,1,1309988245,1312162196,0
GSM,270,99,12,22221,0,6.121598,49.545951,10680,130,1,1309988245,1452760740,0
GSM,270,99,12,22241,0,6.122576,49.544038,11336,99,1,1309988245,1314321180,0
GSM,270,77,3,3792,0,6.13297,49.520955,23998,1982,1,1309988245,1549286601,0
GSM,270,99,11,20522,0,6.124774,49.549224,5366,10,1,1309988245,1312639819,0
GSM,270,77,1,11182,0,6.119617,49.550814,21667,176,1,1309988245,1328838181,0
GSM,270,77,3,3791,0,6.118523,49.541198,21616,1998,1,1309988245,1549286601,0
GSM,270,77,3,11192,0,6.139717,49.55002,23118,138,1,1309988245,1325770581,0
GSM,270,99,11,20222,0,6.126022,49.550171,1036,7,1,1309988245,1311049282,0
GSM,270,77,3,383,0,6.113854,49.52766,18808,1993,1,1309988245,1546828643,0
GSM,270,77,3,381,0,6.179367,49.531934,23819,1988,1,1309988245,1546828643,0
GSM,270,1,1010,15823,0,6.130001,49.55432,32425,386,1,1309988245,1384844090,0
GSM,270,99,12,22231,0,6.123757,49.545728,8585,71,1,1309988245,1314141588,0
GSM,270,77,3,10371,0,6.119414,49.545044,21835,707,1,1309988245,1328105021,0
GSM,270,77,6,1042,0,6.221503,49.534852,29079,836,1,1309988245,1536130526,0
GSM,270,1,1010,11147,0,6.118204,49.534842,21675,435,1,1309988245,1396260652,0
GSM,270,1,1010,15381,0,6.112597,49.533409,34519,2000,1,1309988245,1385012308,0
GSM,270,99,12,16122,0,6.148167,49.582977,14676,40,1,1309988245,1314673814,0
GSM,270,1,1010,12172,0,6.130181,49.570251,31061,593,1,1309988245,1372820040,0
GSM,270,77,1,2432,0,6.131338,49.618383,4589,2000,1,1309988245,1533107317,0
GSM,270,1,1010,15553,0,6.111084,49.532162,41929,2000,1,1309988245,1384767545,0
GSM,270,1,1010,15734,0,6.119752,49.543245,33436,1654,1,1309988245,1384844090,0
GSM,270,1,1030,15557,0,6.199341,49.591137,27817,866,1,1309988245,1391423355,0
GSM,270,77,6,1043,0,6.241118,49.555253,34413,1483,1,1309988245,1534491498,0
GSM,270,1,1010,15555,0,6.103184,49.540176,11491,255,1,1309988245,1381983059,0
GSM,270,77,1,1182,0,6.121886,49.552329,14199,597,1,1309988245,1400490394,0
GSM,270,1,1010,15283,0,6.114797,49.535595,34243,2000,1,1309988245,1384427874,0
GSM,270,77,1,10672,0,6.119841,49.55004,21685,115,1,1309988245,1329733428,0
GSM,270,99,12,12251,0,6.118096,49.544591,11039,36,1,1309988245,1314686404,0
GSM,270,99,12,14292,0,6.118963,49.541873,11025,130,1,1309988245,1314401846,0
GSM,270,99,12,22662,0,6.119587,49.544488,8899,31,1,1309988245,1314055376,0
GSM,270,99,11,20112,0,6.116811,49.557439,4988,25,1,1309988245,1312416782,0
GSM,270,1,1010,11150,0,6.086867,49.504302,50736,1711,1,1309988245,1384366064,0
GSM,270,99,12,12631,0,6.119574,49.546437,11196,50,1,1309988245,1315493540,0
GSM,270,1,1010,15599,0,6.112037,49.523358,12544,198,1,1309988245,1383219423,0
GSM,270,1,1010,15417,0,6.129055,49.569074,22398,186,1,1309988245,1377649674,0
GSM,270,99,12,14293,0,6.120438,49.543166,11163,129,1,1309988245,1314401846,0
GSM,270,1,1010,15176,0,6.077665,49.502674,24868,1296,1,1309988245,1383968757,0
GSM,270,77,3,3861,0,6.10979,49.521241,18897,1998,1,1309988245,1549286601,0
GSM,270,77,3,1192,0,6.196632,49.523073,16597,1299,1,1309988245,1536130392,0
GSM,270,77,1,2103,0,6.157382,49.570571,16309,2000,1,1309988245,1546828643,0
GSM,270,77,1,1183,0,6.127659,49.559709,14351,383,1,1309988245,1400490397,0
GSM,270,1,1010,12160,0,6.139917,49.571839,23202,372,1,1309988245,1372569177,0
